original,abbreviation
"Single-cell multiomics: RNA and ATAC-seq, and other RNA and surface proteins", "Single-cell multiomics"
"Epigenetics using ATAC-seq bulk and single-cell", "Bulk and single-cell ATAC-seq"
"Using large language models (LLM) for biomedical knowledge extraction", "LLM for biomedical knowledge extraction"
"Applications of advanced AI techniques (agentic AI, MCP and RAGs)", "Advanced AI techniques"
"Making bioinformatics workflows findable and citable", "Making workflows findable and citable"
"Using public databases for pathogen data analysis", "Databases for pathogen data analysis"
"Design and validation of CRISPR-based screens", "Design and validation of CRISPR screens"
"Concepts in cloud computing for bioinformatics", "Cloud computing for bioinformatics"
"Eukaryotic genome assembly and annotation", "Eukaryotic genome assembly"
